프레임번호,타임스탐프_초,단순분류,정상확률,포트홀확률,신뢰도,CP클래스,CP클래스번호,파일경로
232,11.611600537260896,정상,0.6430,0.3570,0.6430,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000232_11.612s.jpg
233,11.661650539576677,정상,0.6116,0.3884,0.6116,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000233_11.662s.jpg
234,11.711700541892455,정상,0.6087,0.3913,0.6087,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000234_11.712s.jpg
235,11.761750544208235,정상,0.6124,0.3876,0.6124,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000235_11.762s.jpg
236,11.811800546524015,정상,0.5931,0.4069,0.5931,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000236_11.812s.jpg
237,11.861850548839795,정상,0.5930,0.4070,0.5930,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000237_11.862s.jpg
238,11.911900551155574,정상,0.5810,0.4190,0.5810,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000238_11.912s.jpg
239,11.961950553471354,정상,0.6235,0.3765,0.6235,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000239_11.962s.jpg
240,12.012000555787134,정상,0.5684,0.4316,0.5684,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000240_12.012s.jpg
241,12.062050558102914,정상,0.5589,0.4411,0.5589,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000241_12.062s.jpg
242,12.112100560418693,정상,0.5625,0.4375,0.5625,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000242_12.112s.jpg
243,12.162150562734473,정상,0.6558,0.3442,0.6558,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000243_12.162s.jpg
244,12.212200565050253,정상,0.6533,0.3467,0.6533,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000244_12.212s.jpg
245,12.262250567366033,정상,0.5440,0.4560,0.5440,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000245_12.262s.jpg
246,12.312300569681812,정상,0.5481,0.4519,0.5481,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000246_12.312s.jpg
247,12.362350571997592,정상,0.5417,0.4583,0.5417,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000247_12.362s.jpg
